number,character,rawname,filename,id,transcription,notes
1,闭,v001,01-pi1,1,pi1,
2,知,v002,02-ti1,2,ti1,
3,妇,v003,03-hu2,3,hu2,
4,厨,v004,04-tu2,4,tu2,
5,爬,v005,05-pe2,5,pe2,
6,弟,v006,06-te4,6,te4,
7,笔,v007,07-pie3,7,pie3,
8,笛,v008,08-tie3,8,tie3,
9,杯,v009,09-pue1,9,pue1,
10,题,v010,10-tue2,10,tue2,
11,霸,v011,11-pa5,11,pa5,
12,打,v012,12-pha3,12,pha3,
13,斜,v013,13-tshia2,13,tshia2,
14,靴,v014,14-hia1,14,hia1,
15,大,v015,15-tua5,15,tua5,
16,沙,v016,16-sua1,16,sua1,
17,补,v017,17-pO3,17,pO3,
18,赌,v018,18-tO3,18,tO3,
19,俗,v019,19-siO2,19,siO2,
20,育,v020,20-iO2,20,iO2,
21,婆,v021,21-po2,21,po2,
22,刀,v022,22-to1,22,to1,
23,猪,v023,23-tM1,23,tM1,
24,自,v024,24-tsM2,24,tsM2,
25,坐,v025,25-tsE5,25,tsE5,
26,税,v026,26-sE5,26,sE5,
27,谷,v027,27-kA3,27,kA3,
28,毒,v028,28-tA2,28,tA2,
29,佛,v029,29-puA2,29,puA2,
30,突,v030,30-tuA2,30,tuA2,
31,丢,v031,31-tiu1,31,tiu1,
32,九,v032,32-kiu3,32,kiu3,
33,肥,v033,33-pui2,33,pui2,
34,对,v034,34-tui5,34,tui5,
35,痘,v035,35-tEu5,35,tEu5,
36,勾,v036,36-kEu1,36,kEu1,
37,表,v037,37-pieu3,37,pieu3,
38,桥,v038,38-kieu2,38,kieu2,
39,牌,v039,39-pai2,39,pai2,
40,贷,v040,40-tai3,40,tai3,
41,怪,v041,41-kuai4,41,kuai4,
42,歪,v042,42-uai1,42,uai1,
43,包,v043,43-pau1,43,pau1,
44,罩,v044,44-tau5,44,tau5,
45,标,v045,45-piau1,45,piau1,
46,雕,v046,46-tiau1,46,tiau1,
47,班,v047,47-pan1,47,pan1,
48,陈,v048,48-tan2,48,tan2,
49,鞭,v049,49-pian1,49,pian1,
50,田,v050,50-tian2,50,tian2,
51,观,v051,51-kuan1,51,kuan1,
52,冻,v052,53-tang5,53,tang5,
53,长,v053,55-tiang3,55,tiang3,
54,将,v054,56-tsiang5,56,tsiang5,
55,森,v055,57-sEn1,57,sEn1,
56,近,v056,58-kEn3,58,kEn3,
57,贫,v057,59-pin2,59,pin2,
58,珍,v058,60-tin1,60,tin1,
59,分,v059,61-hun1,61,hun1,
60,蹲,v060,62-tun1,62,tun1,
61,兵,v061,63-ping1,63,ping1,
62,丁,v062,64-ting1,64,ting1,
63,帮,v063,65-pOng1,65,pOng1,
64,公,v064,66-kOng1,66,kOng1,
65,中,v065,67-tiOng1,67,tiOng1,
66,共,v066,68-kiOng1,68,kiOng1,
67,甜,v067,69-tiN1,69,tiN1,
68,见,v068,70-kiN5,70,kiN5,
69,关,v069,71-kuiN1,71,kuiN1,
70,县,v070,72-kuiN5,72,kuiN5,
71,饼,v071,73-piaN3,73,piaN3,
72,定,v072,74-tiaN1,74,tiaN1,
73,搬,v073,75-puaN1,75,puaN1,
74,官,v074,76-kuaN1,76,kuaN1,
75,烤,v075,77-khON3,77,khON3,
76,考,v076,78-khON3,78,khON3,
77,胆,v077,79-tEN3,79,tEN3,
78,柑,v078,80-kEN1,80,kEN1,
79,店,v079,81-taiN5,81,taiN5,
80,闲,v080,82-aiN2,82,aiN2,
81,张,v081,83-tiuN1,83,tiuN1,
82,想,v082,84-siuN1,84,siuN1,
83,当,v083,85-tng1,85,tng1,
84,厂,v084,86-kng5,86,kng5,
85,端,v085,52-tuan1,52,tuan1,
86,江,v086,54-kang1,54,kang1,
