number,notation,rawname,filename,id,word,transcription,notes
1,悲,00001悲,001-pi55,1,悲,pi55,
2,医,00002医,002-i55,2,医,i55,
3,推,00003推,003-tu55,3,推,tu55,
4,淤,00004淤,004-u55,4,淤,u55,
5,巴,00005巴,005-pa55,5,巴,pa55,
6,鸦,00006鸦,006-a55,6,鸦,a55,nga?
7,爹,00007爹,007-tia55,7,爹,tia55,
8,爷,00008爷,008-ia24,8,爷,ia24,
9,沙,00009沙,009-sua55,9,沙,sua55,
10,歌,00010歌,010-kua55,10,歌,kua55,
11,蛙,00011蛙,011-ua55,11,蛙,ua55,
12,上~，下~，,00012上~，下~，,012-pO55,12,晡,pO55,
13,黑,00013黑,013-O55,13,乌,O55,
14,褒,00014褒,014-po55,14,褒,po55,
15,~白菜；~唠,00015~白菜；~唠,015-o55,15,唠,o55,
16,飞~,00016飞~,016-pio55,16,镖,pio55,
17,腰,00017腰,017-io55,17,腰,io55,
18,飞,00018飞,018-pe55,18,飞,pe55,
19,锅,00019锅,019-e55,19,锅,e55,
20,杯,00020杯,020-pue55,20,杯,pue55,
21,~倒：身子紧,00021~倒：身子紧,021-ue55,21,？,ue55,
22,彪,00022彪,022-piu55,22,彪,piu55,
23,面~~,00023面~~,023-iu55,23,忧,iu55,
24,追,00024追,024-tui55,24,追,tui55,
25,威,00025威,025-ui55,25,威,ui55,
26,呆,00026呆,026-tai55,26,呆,tai55,
27,哀,00027哀,027-ai55,27,哀,ai55,
28,乖,00028乖,028-kuai55,28,乖,kuai55,
29,歪,00029歪,029-uai55,29,歪,uai55,
30,包,00030包,030-pau55,30,包,pau55,
31,瓯,00031瓯,031-au55,31,瓯,au55,
32,~准,00032~准,032-piau55,32,标,piau55,
33,妖,00033妖,033-iau55,33,妖,iau55,
34,~人,00034~人,155-hm24,155,媒,hm24,
35,杨~,00035杨~,156-m24,156,梅,m24,
36,吻,00036吻,086-tsim55,86,吻,tsim55,
37,音,00037音,087-im55,87,音,im55,
38,~当,00038~当,088-tam55,88,担,tam55,
39,庵,00039庵,089-am55,89,庵,am55,
40,砧,00040砧,090-tiam55,90,砧,tiam55,
41,阉,00041阉,091-iam55,91,阉,iam55,
42,宾,00042宾,092-pin55,92,宾,pin55,
43,因,00043因,093-in55,93,因,in55,
44,~开,00044~开,094-pun55,94,分,pun55,
45,~州,00045~州,095-un55,95,温,un55,
46,班,00046班,096-pan55,96,班,pan55,
47,安,00047安,097-an55,97,安,an55,
48,鞭,00048鞭,098-pian55,98,鞭,pian55,
49,烟,00049烟,099-ian55,99,烟,ian55,
50,端,00050端,100-tuan55,100,端,tuan55,
51,弯,00051弯,101-uan55,101,弯,uan55,
52,姓,00052姓,102-png55,102,方,png55,
53,双手掩盖,00053双手掩盖,103-ng55,103,？,ng55,
54,冰,00054冰,104-ping55,104,冰,ping55,
55,英,00055英,105-ing55,105,英,ing55,
56,邦,00056邦,106-pang55,106,邦,pang55,
57,老公,00057老公,107-ang55,107,翁,ang55,
58,漳,00058漳,108-tsiang55,108,漳,tsiang55,
59,~求,00059~求,109-iang55,109,央,iang55,
60,东,00060东,110-tOng55,110,东,tOng55,
61,汪,00061汪,111-Ong55,111,汪,Ong55,
62,忠,00062忠,112-tiOng55,112,忠,tiOng55,
63,中~,00063中~,113-iOng55,113,央,iOng55,
64,边,00064边,114-piN55,114,边,piN55,
65,婴,00065婴,115-iN55,115,婴,iN55,
66,动作,00066动作,116-taN55,116,担,taN55,
67,馅,00067馅,117-aN22,117,馅,aN22,
68,用力砸过去,00068用力砸过去,118-piaN55,118,?,piaN55,
69,红~,00069红~,119-iaN55,119,缨,iaN55,
70,搬,00070搬,120-puaN55,120,搬,puaN55,
71,同~,00071同~,121-uaN55,121,安,uaN55,
72,妹,00072妹,122-meN24,122,妹,meN24,
73,婴,00073婴,123-eN55,123,婴,eN55,
74,张,00074张,124-tiuN55,124,张,tiuN55,
75,鸳~,00075鸳~,125-iuN55,125,鸯,iuN55,
76,煤,00076煤,126-muiN24,126,煤,muiN24,
77,~活：轻松,00077~活：轻松,127-kuiN21,127,快,kuiN21,
78,跛,00078跛,128-paiN53,128,跛,paiN53,
79,指,00079指,129-tsaiN53,129,指,tsaiN53,
80,还,00080还,130-haiN24,130,还,haiN24,
81,关,00081关,131-kuaiN55,131,关,kuaiN55,
82,象声词,00082象声词,132-uaiN55,132,？,uaiN55,
83,貌,00083貌,133-mauN22,133,貌,mauN22,
84,闹,00084闹,134-nauN22,134,闹,nauN22,
85,藕,00085藕,135-ngauN22,135,藕,ngauN22,
86,猫,00086猫,136-niauN55,136,猫,niauN55,
87,挠,00087挠,137-ngiauN55,137,挠,ngiauN55,
88,集,00088集,034-tsip5,34,集,tsip5,
89,邑,00089邑,035-ip32,35,邑,ip32,
90,答,00090答,036-tap32,36,答,tap32,
91,压,00091压,037-ap32,37,压,ap32,
92,谍,00092谍,038-tiap5,38,谍,tiap5,
93,姓,00093姓,039-iap5,39,叶,iap5,
94,笔,00094笔,040-pit32,40,笔,pit32,
95,第~,00095第~,041-it32,41,一,it32,
96,不,00096不,042-put32,42,不,put32,
97,郁,00097郁,043-ut32,43,郁,ut32,
98,三~,00098三~,044-pat32,44,八,pat32,
99,折,00099折,045-at32,45,扼,at32,
100,分~,00100分~,046-piat5,46,别,piat5,
