file	vowel	point	time	F1	F2	variety	speaker	gender	repetition	type	count	element	target
F01-01-001-pi55	i	5	0.131696534619554	332.00014236819	3126.4714751285	Xiamen	F1	Female	01	monophthong	1	monophthong	i
F01-01-002-i55	i	5	0.108251383930496	410.667423156415	3063.38110901898	Xiamen	F1	Female	01	monophthong	1	monophthong	i
F01-01-003-tu55	u	5	0.0988295709311136	468.372727209245	1074.52030725782	Xiamen	F1	Female	01	monophthong	1	monophthong	u
F01-01-004-u55	u	5	0.181061753735745	482.488110940353	787.087715152118	Xiamen	F1	Female	01	monophthong	1	monophthong	u
F01-01-005-pa55	a	5	0.160123303546877	1136.46396108871	1708.75027532622	Xiamen	F1	Female	01	monophthong	1	monophthong	a
F01-01-006-a55	a	5	0.137602018971434	1074.33801229242	1322.29723905881	Xiamen	F1	Female	01	monophthong	1	monophthong	a
F01-01-007-tia55	ia	target	0.0429792824456572	454.41728295822	2759.9314266946	Xiamen	F1	Female	01	diphthong	1	onset	i(a)
F01-01-007-tia55	ia	target	0.24485166969041	985.878936585034	1756.12200196414	Xiamen	F1	Female	01	diphthong	2	offset	(i)a
F01-01-008-ia24	ia	target	0.0315976659691549	363.210651014268	3023.16055772563	Xiamen	F1	Female	01	diphthong	1	onset	i(a)
F01-01-008-ia24	ia	target	0.294043407097402	1110.28769173639	1573.16310018033	Xiamen	F1	Female	01	diphthong	2	offset	(i)a
F01-01-009-sua55	ua	target	0.0162300871545619	NA	NA	Xiamen	F1	Female	01	diphthong	1	onset	u(a)
F01-01-009-sua55	ua	target	0.281493208677653	1132.92121414307	1671.02440335889	Xiamen	F1	Female	01	diphthong	2	offset	(u)a
F01-01-010-kua55	ua	target	0.0217810724476895	NA	NA	Xiamen	F1	Female	01	diphthong	1	onset	u(a)
F01-01-010-kua55	ua	target	0.198973040197811	1170.49336003494	1523.53476984219	Xiamen	F1	Female	01	diphthong	2	offset	(u)a
F01-01-011-ua55	ua	target	0.0383542844370077	518.659121859494	925.132948951368	Xiamen	F1	Female	01	diphthong	1	onset	u(a)
F01-01-011-ua55	ua	target	0.285202870109764	261.065952447432	1215.12977006517	Xiamen	F1	Female	01	diphthong	2	offset	(u)a
F01-01-012-pO55	ɔ	5	0.1241027077169	801.984961381507	970.56710443029	Xiamen	F1	Female	01	monophthong	1	monophthong	ɔ
F01-01-013-O55	ɔ	5	0.151529807435559	461.47267207705	888.920113580209	Xiamen	F1	Female	01	monophthong	1	monophthong	ɔ
F01-01-014-po55	o	5	0.166637058073045	519.479697100827	1265.60788562919	Xiamen	F1	Female	01	monophthong	1	monophthong	o
F01-01-015-o55	o	5	0.183098000587343	618.231146217211	1388.32724954192	Xiamen	F1	Female	01	monophthong	1	monophthong	o
F01-01-016-pio55	io	target	0.0508684750397302	471.748718281672	2667.05407332581	Xiamen	F1	Female	01	diphthong	1	onset	i(o)
F01-01-016-pio55	io	target	0.227267219129117	671.336523357044	1658.61068864575	Xiamen	F1	Female	01	diphthong	2	offset	(i)o
F01-01-017-io55	io	target	0.0248824798316055	312.83048947987	2984.22347309084	Xiamen	F1	Female	01	diphthong	1	onset	i(o)
F01-01-017-io55	io	target	0.299355465220401	601.66730217532	1445.08436882459	Xiamen	F1	Female	01	diphthong	2	offset	(i)o
F01-01-018-pe55	e	5	0.172957744300708	544.582642041829	2342.92744375309	Xiamen	F1	Female	01	monophthong	1	monophthong	e
F01-01-019-e55	e	5	0.167190332628347	478.125749524078	2526.74583136108	Xiamen	F1	Female	01	monophthong	1	monophthong	e
F01-01-020-pue55	ue	target	0.0326807066547433	480.844552805053	784.611080775365	Xiamen	F1	Female	01	diphthong	1	onset	u(e)
F01-01-020-pue55	ue	target	0.328434818597365	649.86610390909	2406.62530782391	Xiamen	F1	Female	01	diphthong	2	offset	(u)e
F01-01-021-ue55	ue	target	0.0377884820985289	460.579358900212	851.049402554069	Xiamen	F1	Female	01	diphthong	1	onset	u(e)
F01-01-021-ue55	ue	target	0.297546288709572	565.539070267802	2535.55136344945	Xiamen	F1	Female	01	diphthong	2	offset	(u)e
F01-01-022-piu55	iu	target	0.0476506065500206	435.998864693435	2390.37761523714	Xiamen	F1	Female	01	diphthong	1	onset	i(u)
